,id_no,image_url,shown_price,model_year,car_title,msrp,city_mpg,combination_mpg,cylinders,displacement,highway_mpg,is_gas,is_electric,is_fuel_cell,is_automatic,is_manual,is_awd,is_rwd,is_fwd,is_4wd,horsepower,is_standard_suv,is_small_suv,is_midsize,is_subcompact,is_compact,is_two_seater,is_minivan,is_small_pickup,is_standard_pickup,monthly_lease,monthly_finance,lease_term,finance_term
29,29,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/priuspluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40070.0,2025,Prius Plug-in Hybrid,33375.0,50,48,4,2.0,47,1,1,0,1,0,0,0,1,0,110.0,0,0,1,0,0,0,0,0,0,625.09,756.17,36,60
30,30,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,39950.0,2024,RAV4,28675.0,27,30,4,2.5,35,1,0,0,1,0,0,0,1,0,185.0,0,1,0,0,0,0,0,0,0,623.22,753.91,36,60
31,31,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,34945.0,2024,RAV4 Hybrid,31725.0,38,37,4,2.5,35,1,1,0,1,0,1,0,0,0,102.0,0,1,0,0,0,0,0,0,0,545.14,659.46,36,60
32,32,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4/base.png?bg=fff&fmt=webp&qlt=90&wid=345,37155.0,2025,RAV4,28850.0,27,30,4,2.5,35,1,0,0,1,0,0,0,1,0,185.0,0,1,0,0,0,0,0,0,0,579.62,701.16,36,60
33,33,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4hybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,35120.0,2025,RAV4 Hybrid,31900.0,38,37,4,2.5,35,1,1,0,1,0,1,0,0,0,102.0,0,1,0,0,0,0,0,0,0,547.87,662.76,36,60
34,34,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/rav4pluginhybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,51170.0,2025,RAV4 Plug-in Hybrid,43865.0,38,37,4,2.5,35,1,1,0,1,0,1,0,0,0,102.0,0,1,0,0,0,0,0,0,0,798.25,965.64,36,60
35,35,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sequoia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,80860.0,2025,Sequoia,62425.0,21,22,6,3.4,24,1,1,0,1,0,0,1,0,0,92.0,1,0,0,0,0,0,0,0,0,1261.42,1525.93,36,60
36,36,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/sienna/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47115.0,2025,Sienna,39185.0,36,36,4,2.5,36,1,1,0,1,0,0,0,1,0,101.0,0,0,0,0,0,0,1,0,0,734.99,889.12,36,60
37,37,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,43325.0,2024,Tacoma,31500.0,20,22,4,2.4,24,1,0,0,1,0,0,1,0,0,180.0,0,0,0,0,0,0,0,1,0,675.87,817.6,36,60
38,38,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacoma/base.png?bg=fff&fmt=webp&qlt=90&wid=345,42900.0,2025,Tacoma,31590.0,20,22,4,2.4,24,1,0,0,1,0,0,1,0,0,180.0,0,0,0,0,0,0,0,1,0,669.24,809.58,36,60
39,39,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,64900.0,2024,Tacoma i-FORCE MAX,46300.0,20,22,4,2.4,24,1,1,0,1,0,0,0,0,1,92.0,0,0,0,0,0,0,0,1,0,1012.44,1224.74,36,60
40,40,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tacomahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,63735.0,2025,Tacoma i-FORCE MAX,46320.0,20,22,4,2.4,24,1,1,0,1,0,0,0,0,1,92.0,0,0,0,0,0,0,0,1,0,994.27,1202.76,36,60
41,41,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrown/base.png?bg=fff&fmt=webp&qlt=90&wid=345,45950.0,2025,Toyota Crown,41440.0,29,32,4,2.4,34,1,1,0,1,0,1,0,0,0,97.0,0,0,1,0,0,0,0,0,0,716.82,867.13,36,60
42,42,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/toyotacrownsignia/base.png?bg=fff&fmt=webp&qlt=90&wid=345,47990.0,2025,Toyota Crown Signia,43590.0,28,31,4,2.4,33,1,1,0,1,0,1,0,0,0,96.0,0,0,1,0,0,0,0,0,0,748.64,905.63,36,60
43,43,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,56905.0,2024,Tundra,39965.0,18,20,6,3.4,23,1,0,0,1,0,0,1,0,0,260.0,0,0,0,0,0,0,0,0,1,887.72,1073.87,36,60
44,44,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundra/base.png?bg=fff&fmt=webp&qlt=90&wid=345,48010.0,2025,Tundra,40090.0,18,20,6,3.4,23,1,0,0,1,0,0,1,0,0,260.0,0,0,0,0,0,0,0,0,1,748.96,906.01,36,60
45,45,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,79270.0,2024,Tundra i-FORCE MAX,57625.0,19,21,6,3.4,22,1,1,0,1,0,0,0,0,1,91.0,0,0,0,0,0,0,0,0,1,1236.61,1495.92,36,60
46,46,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2025/tundrahybrid/base.png?bg=fff&fmt=webp&qlt=90&wid=345,72510.0,2025,Tundra i-FORCE MAX,58005.0,19,21,6,3.4,22,1,1,0,1,0,0,0,0,1,91.0,0,0,0,0,0,0,0,0,1,1131.16,1368.35,36,60
47,47,https://tmna.aemassets.toyota.com/is/image/toyota/toyota/jellies/relative/2024/venza/base.png?bg=fff&fmt=webp&qlt=90&wid=345,40405.0,2024,Venza,35070.0,40,39,4,2.5,37,1,1,0,1,0,1,0,0,0,104.0,0,1,0,0,0,0,0,0,0,630.32,762.49,36,60
